 TIME                                   	Q_Abwaerme                              	
 HOURS              	NAV                 	
  +3.7750000000000000E+01	  +5.1394150242169012E+01	
  +3.8000000000000000E+01	  +5.0649835004662322E+01	
  +3.8250000000000000E+01	  +5.0142572974373017E+01	
  +3.8500000000000000E+01	  +5.0361456486637245E+01	
  +3.8750000000000000E+01	  +5.0667509929936948E+01	
  +3.9000000000000000E+01	  +5.0435931329247701E+01	
  +3.9250000000000000E+01	  +5.1659392790099830E+01	
  +3.9500000000000000E+01	  +5.3696552968395345E+01	
  +3.9750000000000000E+01	  +5.4207489285596388E+01	
  +4.0000000000000000E+01	  +5.5095162240164179E+01	
  +4.0250000000000000E+01	  +5.6429549163459662E+01	
  +4.0500000000000000E+01	  +5.7898981853067248E+01	
  +4.0750000000000000E+01	  +5.9388397593264926E+01	
  +4.1000000000000000E+01	  +6.0596848226620779E+01	
  +4.1250000000000000E+01	  +6.1239825405827979E+01	
  +4.1500000000000000E+01	  +6.1565286719435463E+01	
  +4.1750000000000000E+01	  +6.1909574477325187E+01	
  +4.2000000000000000E+01	  +6.3245331736173846E+01	
  +4.2250000000000000E+01	  +6.4846881917138617E+01	
  +4.2500000000000000E+01	  +6.5224406742546265E+01	
  +4.2750000000000000E+01	  +6.5276028105726297E+01	
  +4.3000000000000000E+01	  +4.2510907735695220E+01	
  +4.3250000000000000E+01	  +1.9067579165598310E+01	
  +4.3500000000000000E+01	  +1.8527595900145375E+01	
  +4.3750000000000000E+01	  +1.8557439461074210E+01	
  +4.4000000000000000E+01	  +1.9708869344541302E+01	
  +4.4250000000000000E+01	  +1.9838282370899879E+01	
  +4.4500000000000000E+01	  +1.8850738260608161E+01	
  +4.4750000000000000E+01	  +1.8902639806218684E+01	
  +4.5000000000000000E+01	  +2.0045999149336648E+01	
  +4.5250000000000000E+01	  +2.1197003214843289E+01	
  +4.5500000000000000E+01	  +2.1272873396668910E+01	
  +4.5750000000000000E+01	  +2.1337702932086330E+01	
  +4.6000000000000000E+01	  +2.0696313458252881E+01	
  +4.6250000000000000E+01	  +1.9928479238122250E+01	
  +4.6500000000000000E+01	  +1.9846234305780872E+01	
  +4.6750000000000000E+01	  +1.9885516905789260E+01	
  +4.7000000000000000E+01	  +2.0966531939627682E+01	
  +4.7250000000000000E+01	  +2.2045876431609567E+01	
  +4.7500000000000000E+01	  +2.2098500453935891E+01	
  +4.7750000000000000E+01	  +2.2146013389318671E+01	
  +4.8000000000000000E+01	  +2.3064892437859594E+01	
  +4.8250000000000000E+01	  +2.3975300161286540E+01	
  +4.8500000000000000E+01	  +2.3996892875273293E+01	
  +4.8750000000000000E+01	  +2.4044293321012876E+01	
  +4.9000000000000000E+01	  +2.4871872976387387E+01	
  +4.9250000000000000E+01	  +2.5717397113680580E+01	
  +4.9500000000000000E+01	  +2.5822861703729419E+01	
  +4.9750000000000000E+01	  +2.5911408520742018E+01	
  +5.0000000000000000E+01	  +2.6659976345313353E+01	
  +5.0250000000000000E+01	  +2.7388798883256793E+01	
  +5.0500000000000000E+01	  +2.7420080475704648E+01	
  +5.0750000000000000E+01	  +2.7472874654801128E+01	
  +5.1000000000000000E+01	  +2.8212299930829740E+01	
  +5.1250000000000000E+01	  +2.8967139084673700E+01	
  +5.1500000000000000E+01	  +2.9072963095298856E+01	
  +5.1750000000000000E+01	  +2.9160900300410653E+01	
  +5.2000000000000000E+01	  +2.9848154565302874E+01	
  +5.2250000000000000E+01	  +5.3620824319597553E+01	
  +5.2500000000000000E+01	  +7.7653956919801658E+01	
  +5.2750000000000000E+01	  +7.8602342348674441E+01	
  +5.3000000000000000E+01	  +7.7720036673702438E+01	
  +5.3250000000000000E+01	  +7.8535801420184669E+01	
  +5.3500000000000000E+01	  +8.0442279104631098E+01	
  +5.3750000000000000E+01	  +8.0602627453454488E+01	
  +5.4000000000000000E+01	  +7.8862194386505976E+01	
  +5.4250000000000000E+01	  +8.6095422011193989E+01	
  +5.4500000000000000E+01	  +9.4945844547924665E+01	
  +5.4750000000000000E+01	  +9.4741749298854543E+01	
  +5.5000000000000000E+01	  +9.3307429108243710E+01	
  +5.5250000000000000E+01	  +9.1862480516667802E+01	
  +5.5500000000000000E+01	  +9.1647774181495762E+01	
  +5.5750000000000000E+01	  +9.1942307806545799E+01	
  +5.6000000000000000E+01	  +9.1020717096995298E+01	
  +5.6250000000000000E+01	  +8.9098304549145681E+01	
  +5.6500000000000000E+01	  +8.8774792677682996E+01	
  +5.6750000000000000E+01	  +8.9412943346000688E+01	
  +5.7000000000000000E+01	  +8.9312365359245533E+01	
  +5.7250000000000000E+01	  +8.5492770057326140E+01	
  +5.7500000000000000E+01	  +8.0470288089242871E+01	
  +5.7750000000000000E+01	  +7.7761032469101750E+01	
  +5.8000000000000000E+01	  +7.5011628856715902E+01	
  +5.8250000000000000E+01	  +7.3177348176350193E+01	
