 TIME                                   	Q_Abwaerme                              	
 HOURS              	NAV                 	
  +4.4000000000000000E+01	  +9.0385712791575514E+00	
  +4.4250000000000000E+01	  +8.2415360143816958E+00	
  +4.4500000000000000E+01	  +7.2482461730454011E+00	
  +4.4750000000000000E+01	  +7.2814121017233013E+00	
  +4.5000000000000000E+01	  +7.4970311925196409E+00	
  +4.5250000000000000E+01	  +7.7234322220794587E+00	
  +4.5500000000000000E+01	  +7.7855563324401098E+00	
  +4.5750000000000000E+01	  +7.8400975317322068E+00	
  +4.6000000000000000E+01	  +7.3580081711758885E+00	
  +4.6250000000000000E+01	  +6.8640780491502866E+00	
  +4.6500000000000000E+01	  +6.8904364639542885E+00	
  +4.6750000000000000E+01	  +6.9231803058399892E+00	
  +4.7000000000000000E+01	  +7.1184085370242274E+00	
  +4.7250000000000000E+01	  +7.3171211700590684E+00	
  +4.7500000000000000E+01	  +7.3621449041747784E+00	
  +4.7750000000000000E+01	  +7.3982179403328052E+00	
  +4.8000000000000000E+01	  +7.5767596188868458E+00	
  +4.8250000000000000E+01	  +7.7498911652656224E+00	
  +4.8500000000000000E+01	  +7.7640843752788813E+00	
  +4.8750000000000000E+01	  +7.7914566257153162E+00	
  +4.9000000000000000E+01	  +8.0072667740872490E+00	
  +4.9250000000000000E+01	  +8.2363594125849549E+00	
  +4.9500000000000000E+01	  +8.3050615998168418E+00	
  +4.9750000000000000E+01	  +8.3606779711843071E+00	
  +5.0000000000000000E+01	  +8.5846699529186150E+00	
  +5.0250000000000000E+01	  +8.7961223836691023E+00	
  +5.0500000000000000E+01	  +8.8136133549301370E+00	
  +5.0750000000000000E+01	  +8.8459411593187092E+00	
  +5.1000000000000000E+01	  +9.1064962603570176E+00	
  +5.1250000000000000E+01	  +9.3820520906713298E+00	
  +5.1500000000000000E+01	  +9.4578653662213874E+00	
  +5.1750000000000000E+01	  +9.5191408211296338E+00	
  +5.2000000000000000E+01	  +9.7387617836532421E+00	
  +5.2250000000000000E+01	  +2.9601855905632732E+01	
  +5.2500000000000000E+01	  +4.9626388220721154E+01	
  +5.2750000000000000E+01	  +5.0016584165681373E+01	
  +5.3000000000000000E+01	  +4.9234725004788132E+01	
  +5.3250000000000000E+01	  +4.9806385537048783E+01	
  +5.3500000000000000E+01	  +5.1318259800043599E+01	
  +5.3750000000000000E+01	  +5.1423324834967985E+01	
  +5.4000000000000000E+01	  +4.9950251020180232E+01	
  +5.4250000000000000E+01	  +5.7458128866362841E+01	
  +5.4500000000000000E+01	  +6.6312951821639558E+01	
  +5.4750000000000000E+01	  +6.6092229369609655E+01	
  +5.5000000000000000E+01	  +6.4797244561976484E+01	
  +5.5250000000000000E+01	  +6.3518691447299574E+01	
  +5.5500000000000000E+01	  +6.3320972027924775E+01	
  +5.5750000000000000E+01	  +6.2940964580467856E+01	
  +5.6000000000000000E+01	  +6.1371102374749029E+01	
  +5.6250000000000000E+01	  +5.9969948534215341E+01	
  +5.6500000000000000E+01	  +5.9903939162461540E+01	
  +5.6750000000000000E+01	  +5.9813389454105035E+01	
  +5.7000000000000000E+01	  +5.9063808600312825E+01	
  +5.7250000000000000E+01	  +5.5342255116494002E+01	
  +5.7500000000000000E+01	  +5.1171275417399535E+01	
  +5.7750000000000000E+01	  +4.9403758958409021E+01	
  +5.8000000000000000E+01	  +4.7084577812836564E+01	
  +5.8250000000000000E+01	  +4.5483293151642883E+01	
  +5.8500000000000000E+01	  +4.5088768197197446E+01	
  +5.8750000000000000E+01	  +4.4434807716025134E+01	
  +5.9000000000000000E+01	  +4.2926742242968018E+01	
  +5.9250000000000000E+01	  +4.3109112889541798E+01	
  +5.9500000000000000E+01	  +4.4390158315706287E+01	
  +5.9750000000000000E+01	  +4.4111880083154794E+01	
  +6.0000000000000000E+01	  +4.3478839532067198E+01	
  +6.0250000000000000E+01	  +4.2912527626982900E+01	
  +6.0500000000000000E+01	  +4.2797251648394038E+01	
  +6.0750000000000000E+01	  +4.2660890373410297E+01	
  +6.1000000000000000E+01	  +4.2224377586379624E+01	
  +6.1250000000000000E+01	  +4.1722887071297961E+01	
  +6.1500000000000000E+01	  +4.1481387708933191E+01	
  +6.1750000000000000E+01	  +4.1304715024454502E+01	
  +6.2000000000000000E+01	  +4.0927480124638215E+01	
  +6.2250000000000000E+01	  +4.0641020266123455E+01	
  +6.2500000000000000E+01	  +4.0616054584895807E+01	
  +6.2750000000000000E+01	  +4.0618089347979875E+01	
  +6.3000000000000000E+01	  +4.0481298707200516E+01	
  +6.3250000000000000E+01	  +4.0438856985582923E+01	
  +6.3500000000000000E+01	  +4.0713169135850428E+01	
  +6.3750000000000000E+01	  +4.1072629032721849E+01	
  +6.4000000000000000E+01	  +4.1489050646690757E+01	
  +6.4250000000000000E+01	  +4.2041204784664913E+01	
  +6.4500000000000000E+01	  +4.2808239382295412E+01	
  +6.4750000000000000E+01	  +4.3529140286443329E+01	
  +6.5000000000000000E+01	  +4.4289156660422840E+01	
  +6.5250000000000000E+01	  +4.4852614458676776E+01	
  +6.5500000000000000E+01	  +4.5077651029393287E+01	
  +6.5750000000000000E+01	  +4.5280971060665671E+01	
  +6.6000000000000000E+01	  +4.5843774942780286E+01	
  +6.6250000000000000E+01	  +4.6353288352223906E+01	
  +6.6500000000000000E+01	  +4.6400165735662561E+01	
  +6.6750000000000000E+01	  +4.6423938275394079E+01	
  +6.7000000000000000E+01	  +2.7949988342171849E+01	
  +6.7250000000000000E+01	  +9.3890040540611270E+00	
  +6.7500000000000000E+01	  +9.3548515868562845E+00	
  +6.7750000000000000E+01	  +9.3946600850723989E+00	
  +6.8000000000000000E+01	  +9.6083963629521172E+00	
