  
 Results from TRNSYS Input File: 
 C:\Users\lbarnic\OneDrive - Fraunhofer\A_Bearbeitung\9_Parameterstudie_REP\9_k
 altes_Nahwaermenetz\V1_2_5\III_kaltes_Nahwaermenetz.dck                       
                                                                               
                                                                   
 Initiated at time: 2025-01-11 AT  10:15:26
 TIME                                   ,Q_th_SW_WP                              ,Q_el_SW_WP                              ,
  +3.5000000000000000E+01,  +8.5127994912014657E+01,  +5.5693143944424675E+00,
  +3.5250000000000000E+01,  +8.1883144255386512E+01,  +5.3570270794592663E+00,
  +3.5500000000000000E+01,  +8.0856998809456016E+01,  +5.2898937397310242E+00,
  +3.5750000000000000E+01,  +8.0981893578929842E+01,  +5.2980647090829995E+00,
  +3.6000000000000000E+01,  +7.8808515473319034E+01,  +5.1558761613478525E+00,
  +3.6250000000000000E+01,  +7.4894040880035803E+01,  +4.8997801529597265E+00,
  +3.6500000000000000E+01,  +7.3557959747797668E+01,  +4.8123699433147369E+00,
  +3.6750000000000000E+01,  +7.3499537246705174E+01,  +4.8085477779197916E+00,
  +3.7000000000000000E+01,  +7.1428303905778719E+01,  +4.6730418298260608E+00,
  +3.7250000000000000E+01,  +6.9545068463804654E+01,  +4.5498352364374721E+00,
  +3.7500000000000000E+01,  +6.9238915807919824E+01,  +4.5298058630794076E+00,
  +3.7750000000000000E+01,  +6.9080674355107476E+01,  +4.5194532593107395E+00,
  +3.8000000000000000E+01,  +6.8005036676195161E+01,  +4.4490819976057896E+00,
  +3.8250000000000000E+01,  +6.7437938281598178E+01,  +4.4119808153759186E+00,
  +3.8500000000000000E+01,  +6.7885869308940158E+01,  +4.4412857311192235E+00,
  +3.8750000000000000E+01,  +6.8497197284068946E+01,  +4.4812805377058123E+00,
  +3.9000000000000000E+01,  +6.8301388838743108E+01,  +4.4684701949480186E+00,
  +3.9250000000000000E+01,  +7.1121614716346969E+01,  +4.6529773549246194E+00,
  +3.9500000000000000E+01,  +7.5298536943539276E+01,  +4.9262434304196692E+00,
  +3.9750000000000000E+01,  +7.6191903562962310E+01,  +4.9846900034678132E+00,
  +4.0000000000000000E+01,  +7.7875044512329012E+01,  +5.0948058487531638E+00,
  +4.0250000000000000E+01,  +8.0633598304991693E+01,  +5.2752782463610135E+00,
  +4.0500000000000000E+01,  +8.3634180267806215E+01,  +5.4715848119564967E+00,
  +4.0750000000000000E+01,  +8.6494723126178428E+01,  +5.6587296229381012E+00,
  +4.1000000000000000E+01,  +8.8371485992374431E+01,  +5.7815127620977114E+00,
  +4.1250000000000000E+01,  +8.9199001243463883E+01,  +5.8356511522274985E+00,
  +4.1500000000000000E+01,  +8.9803446245512575E+01,  +5.8751956552319209E+00,
  +4.1750000000000000E+01,  +9.0462895199356836E+01,  +5.9183386724595763E+00,
  +4.2000000000000000E+01,  +9.2572551251129994E+01,  +6.0563583430580277E+00,
  +4.2250000000000000E+01,  +9.5313849817444961E+01,  +6.2357018549147565E+00,
  +4.2500000000000000E+01,  +9.6097941745247795E+01,  +6.2869993683190355E+00,
  +4.2750000000000000E+01,  +9.6131299175834144E+01,  +6.2891817058511039E+00,
  +4.3000000000000000E+01,  +5.7617739152222931E+01,  +3.7695155908155553E+00,
  +4.3250000000000000E+01,  +1.8687578800859704E+01,  +1.2225943030900261E+00,
  +4.3500000000000000E+01,  +1.8503294963724972E+01,  +1.2105379328221919E+00,
  +4.3750000000000000E+01,  +1.8522219553050121E+01,  +1.2117760330246741E+00,
  +4.4000000000000000E+01,  +1.9033928633849250E+01,  +1.2452534895582978E+00,
  +4.4250000000000000E+01,  +1.7009562695991047E+01,  +1.1128137396383628E+00,
  +4.4500000000000000E+01,  +1.4519542062401410E+01,  +9.4990954141963713E-01,
