 TIME                                   	Q_Abwaerme                              	Strom_WP_AB                             	
 HOURS              	NAV                 	NAV                 	
  +4.0250000000000000E+01	  +2.5000000000000000E+00	  +9.6010297523953425E-01	
  +4.0500000000000000E+01	  +2.5000000000000000E+00	  +9.6769106964356855E-01	
  +4.0750000000000000E+01	  +2.5000000000000000E+00	  +9.7610262095368483E-01	
  +4.1000000000000000E+01	  +2.5000000000000000E+00	  +9.8615778175624702E-01	
  +4.1250000000000000E+01	  +2.5000000000000000E+00	  +9.9704845661434538E-01	
  +4.1500000000000000E+01	  +2.5000000000000000E+00	  +1.0079594688637297E+00	
  +4.1750000000000000E+01	  +2.5000000000000000E+00	  +1.0164317752072864E+00	
  +4.2000000000000000E+01	  +2.5000000000000000E+00	  +1.0199883893201676E+00	
  +4.2250000000000000E+01	  +2.5000000000000000E+00	  +1.0210829061244537E+00	
  +4.2500000000000000E+01	  +2.5000000000000000E+00	  +1.0221776326928840E+00	
  +4.2750000000000000E+01	  +2.5000000000000000E+00	  +1.0238200267791462E+00	
  +4.3000000000000000E+01	  +2.5000000000000000E+00	  +1.0265584036496744E+00	
  +4.3250000000000000E+01	  +2.5000000000000000E+00	  +1.0298463780496185E+00	
  +4.3500000000000000E+01	  +2.5000000000000000E+00	  +1.0331362609069057E+00	
  +4.3750000000000000E+01	  +2.5000000000000000E+00	  +1.0375252800281953E+00	
  +4.4000000000000000E+01	  +2.5000000000000000E+00	  +1.0441152414698254E+00	
  +4.4250000000000000E+01	  +2.5000000000000000E+00	  +1.0518141781325092E+00	
  +4.4500000000000000E+01	  +2.5000000000000000E+00	  +1.0595237818430498E+00	
  +4.4750000000000000E+01	  +2.5000000000000000E+00	  +1.0664169913013839E+00	
  +4.5000000000000000E+01	  +2.5000000000000000E+00	  +1.0716616068643510E+00	
  +4.5250000000000000E+01	  +2.5000000000000000E+00	  +1.0760816738875771E+00	
  +4.5500000000000000E+01	  +2.5000000000000000E+00	  +1.0805053217230427E+00	
  +4.5750000000000000E+01	  +2.5000000000000000E+00	  +1.0854859706612496E+00	
  +4.6000000000000000E+01	  +2.5000000000000000E+00	  +1.0915796540487712E+00	
  +4.6250000000000000E+01	  +2.5000000000000000E+00	  +1.0982355060379809E+00	
  +4.6500000000000000E+01	  +2.5000000000000000E+00	  +1.1048996113595249E+00	
  +4.6750000000000000E+01	  +2.5000000000000000E+00	  +1.1101819196395419E+00	
  +4.7000000000000000E+01	  +2.5000000000000000E+00	  +1.1126858904882890E+00	
  +4.7250000000000000E+01	  +2.5000000000000000E+00	  +1.1137990041950570E+00	
  +4.7500000000000000E+01	  +2.5000000000000000E+00	  +1.1149123509394252E+00	
  +4.7750000000000000E+01	  +2.5000000000000000E+00	  +1.1176963203819246E+00	
  +4.8000000000000000E+01	  +2.5000000000000000E+00	  +1.1238262120773588E+00	
  +4.8250000000000000E+01	  +2.5000000000000000E+00	  +1.1316393713417241E+00	
  +4.8500000000000000E+01	  +2.5000000000000000E+00	  +1.1394641587051775E+00	
  +4.8750000000000000E+01	  +2.5000000000000000E+00	  +1.1456213268175086E+00	
  +4.9000000000000000E+01	  +2.5000000000000000E+00	  +1.1484224407357271E+00	
  +4.9250000000000000E+01	  +2.5000000000000000E+00	  +1.1495431439190424E+00	
  +4.9500000000000000E+01	  +2.5000000000000000E+00	  +1.1506640886452513E+00	
  +4.9750000000000000E+01	  +2.5000000000000000E+00	  +1.1534671000485730E+00	
  +5.0000000000000000E+01	  +2.5000000000000000E+00	  +1.1596390702954260E+00	
  +5.0250000000000000E+01	  +2.5000000000000000E+00	  +1.1675061265795306E+00	
  +5.0500000000000000E+01	  +2.5000000000000000E+00	  +1.1753852238521050E+00	
  +5.0750000000000000E+01	  +2.5000000000000000E+00	  +1.1815853321613183E+00	
  +5.1000000000000000E+01	  +2.5000000000000000E+00	  +1.1844060482450265E+00	
  +5.1250000000000000E+01	  +2.5000000000000000E+00	  +1.1855346106501181E+00	
  +5.1500000000000000E+01	  +2.5000000000000000E+00	  +1.1866634229517354E+00	
  +5.1750000000000000E+01	  +2.5000000000000000E+00	  +1.1869456851207520E+00	
  +5.2000000000000000E+01	  +2.5000000000000000E+00	  +1.1855345305126626E+00	
  +5.2250000000000000E+01	  +2.5000000000000000E+00	  +1.1832776552280846E+00	
  +5.2500000000000000E+01	  +2.5000000000000000E+00	  +1.1810217774563485E+00	
  +5.2750000000000000E+01	  +2.5000000000000000E+00	  +1.1770758214625083E+00	
  +5.3000000000000000E+01	  +2.5000000000000000E+00	  +1.1697556599863475E+00	
  +5.3250000000000000E+01	  +2.5000000000000000E+00	  +1.1607617946952646E+00	
  +5.3500000000000000E+01	  +2.5000000000000000E+00	  +1.1517835559671901E+00	
  +5.3750000000000000E+01	  +2.5000000000000000E+00	  +1.1433809413653200E+00	
  +5.4000000000000000E+01	  +2.5000000000000000E+00	  +1.1361096071385532E+00	
  +5.4250000000000000E+01	  +2.5000000000000000E+00	  +1.1294062175998969E+00	
  +5.4500000000000000E+01	  +2.5000000000000000E+00	  +1.1227113520354348E+00	
  +5.4750000000000000E+01	  +2.5000000000000000E+00	  +1.1163035452096672E+00	
  +5.5000000000000000E+01	  +2.5000000000000000E+00	  +1.1104596878317865E+00	
  +5.5250000000000000E+01	  +2.5000000000000000E+00	  +1.1048999211368626E+00	
  +5.5500000000000000E+01	  +2.5000000000000000E+00	  +1.0993459265095857E+00	
  +5.5750000000000000E+01	  +2.5000000000000000E+00	  +1.0937976701541845E+00	
  +5.6000000000000000E+01	  +2.5000000000000000E+00	  +1.0882551181568101E+00	
  +5.6250000000000000E+01	  +2.5000000000000000E+00	  +1.0827182364824059E+00	
  +5.6500000000000000E+01	  +2.5000000000000000E+00	  +1.0771869909715304E+00	
  +5.6750000000000000E+01	  +2.5000000000000000E+00	  +1.0722139200186034E+00	
  +5.7000000000000000E+01	  +2.5000000000000000E+00	  +1.0683490982468278E+00	
  +5.7250000000000000E+01	  +2.5000000000000000E+00	  +1.0650383846128575E+00	
  +5.7500000000000000E+01	  +2.5000000000000000E+00	  +1.0617296603418176E+00	
  +5.7750000000000000E+01	  +2.5000000000000000E+00	  +1.0573206432990512E+00	
  +5.8000000000000000E+01	  +2.5000000000000000E+00	  +1.0507136791931901E+00	
  +5.8250000000000000E+01	  +2.5000000000000000E+00	  +1.0430162585464853E+00	
  +5.8500000000000000E+01	  +2.5000000000000000E+00	  +1.0353293948404665E+00	
  +5.8750000000000000E+01	  +2.5000000000000000E+00	  +1.0276529911027026E+00	
  +5.9000000000000000E+01	  +2.5000000000000000E+00	  +1.0199869497524565E+00	
  +5.9250000000000000E+01	  +2.5000000000000000E+00	  +1.0123311725794839E+00	
  +5.9500000000000000E+01	  +2.5000000000000000E+00	  +1.0046855607222080E+00	
  +5.9750000000000000E+01	  +2.5000000000000000E+00	  +9.9705001464525600E-01	
  +6.0000000000000000E+01	  +2.5000000000000000E+00	  +9.8942443411631331E-01	
  +6.0250000000000000E+01	  +2.5000000000000000E+00	  +9.8180871818229132E-01	
  +6.0500000000000000E+01	  +2.5000000000000000E+00	  +9.7420276514476456E-01	
  +6.0750000000000000E+01	  +2.5000000000000000E+00	  +9.6769182109032836E-01	
  +6.1000000000000000E+01	  +2.5000000000000000E+00	  +9.6335510736250229E-01	
  +6.1250000000000000E+01	  +2.5000000000000000E+00	  +9.6010423587302962E-01	
  +6.1500000000000000E+01	  +2.5000000000000000E+00	  +9.5685510343977875E-01	
  +6.1750000000000000E+01	  +2.5000000000000000E+00	  +9.5333705986703166E-01	
  +6.2000000000000000E+01	  +2.5000000000000000E+00	  +9.4928028842405288E-01	
  +6.2250000000000000E+01	  +2.5000000000000000E+00	  +9.4495613954502911E-01	
  +6.2500000000000000E+01	  +2.5000000000000000E+00	  +9.4063501357460610E-01	
  +6.2750000000000000E+01	  +2.5000000000000000E+00	  +9.3793631817950607E-01	
  +6.3000000000000000E+01	  +2.5000000000000000E+00	  +9.3847596345931983E-01	
  +6.3250000000000000E+01	  +2.5000000000000000E+00	  +9.4063539830830489E-01	
  +6.3500000000000000E+01	  +2.5000000000000000E+00	  +9.4279558392660689E-01	
  +6.3750000000000000E+01	  +2.5000000000000000E+00	  +9.4468642006597336E-01	
  +6.4000000000000000E+01	  +2.5000000000000000E+00	  +9.4603737120127951E-01	
  +6.4250000000000000E+01	  +2.5000000000000000E+00	  +9.4711831303307681E-01	
  +6.4500000000000000E+01	  +2.5000000000000000E+00	  +9.4819944441639725E-01	
  +6.4750000000000000E+01	  +2.5000000000000000E+00	  +9.4901044140012292E-01	
  +6.5000000000000000E+01	  +2.5000000000000000E+00	  +9.4928079747541305E-01	
  +6.5250000000000000E+01	  +2.5000000000000000E+00	  +9.4928079747541305E-01	
  +6.5500000000000000E+01	  +2.5000000000000000E+00	  +9.4928079747541305E-01	
  +6.5750000000000000E+01	  +2.5000000000000000E+00	  +9.5009184163208060E-01	
  +6.6000000000000000E+01	  +2.5000000000000000E+00	  +9.5252561782980483E-01	
  +6.6250000000000000E+01	  +2.5000000000000000E+00	  +9.5577244433046094E-01	
  +6.6500000000000000E+01	  +2.5000000000000000E+00	  +9.5902099890602932E-01	
  +6.6750000000000000E+01	  +2.5000000000000000E+00	  +9.6172961107938626E-01	
  +6.7000000000000000E+01	  +2.5000000000000000E+00	  +9.6335535878009948E-01	
  +6.7250000000000000E+01	  +2.5000000000000000E+00	  +9.6443937025045889E-01	
  +6.7500000000000000E+01	  +2.5000000000000000E+00	  +9.6552357616459628E-01	
  +6.7750000000000000E+01	  +2.5000000000000000E+00	  +9.6796339981658652E-01	
  +6.8000000000000000E+01	  +2.5000000000000000E+00	  +9.7311739658415441E-01	
  +6.8250000000000000E+01	  +2.5000000000000000E+00	  +9.7963499992150649E-01	
  +6.8500000000000000E+01	  +2.5000000000000000E+00	  +9.8615975459317007E-01	
  +6.8750000000000000E+01	  +2.5000000000000000E+00	  +9.9296385619344363E-01	
  +6.9000000000000000E+01	  +2.5000000000000000E+00	  +1.0003211654035014E+00	
  +6.9250000000000000E+01	  +2.5000000000000000E+00	  +1.0079610131541381E+00	
  +6.9500000000000000E+01	  +2.5000000000000000E+00	  +1.0156109694270896E+00	
  +6.9750000000000000E+01	  +2.5000000000000000E+00	  +1.0232711334661664E+00	
  +7.0000000000000000E+01	  +2.5000000000000000E+00	  +1.0309416038510886E+00	
  +7.0250000000000000E+01	  +2.5000000000000000E+00	  +1.0386224785196778E+00	
  +7.0500000000000000E+01	  +2.5000000000000000E+00	  +1.0463138547894069E+00	
  +7.0750000000000000E+01	  +2.5000000000000000E+00	  +1.0507150850213045E+00	
  +7.1000000000000000E+01	  +2.5000000000000000E+00	  +1.0485140373653723E+00	
  +7.1250000000000000E+01	  +2.5000000000000000E+00	  +1.0430169655763744E+00	
  +7.1500000000000000E+01	  +2.5000000000000000E+00	  +1.0375252800281953E+00	
  +7.1750000000000000E+01	  +2.5000000000000000E+00	  +1.0336849091578257E+00	
  +7.2000000000000000E+01	  +2.5000000000000000E+00	  +1.0331364983793176E+00	
  +7.2250000000000000E+01	  +2.5000000000000000E+00	  +1.0342335512267240E+00	
  +7.2500000000000000E+01	  +2.5000000000000000E+00	  +1.0353308172629865E+00	
  +7.2750000000000000E+01	  +2.5000000000000000E+00	  +1.0364282967718106E+00	
  +7.3000000000000000E+01	  +2.5000000000000000E+00	  +1.0375259900366525E+00	
  +7.3250000000000000E+01	  +2.5000000000000000E+00	  +1.0386238973407151E+00	
  +7.3500000000000000E+01	  +2.5000000000000000E+00	  +1.0397220189669487E+00	
  +7.3750000000000000E+01	  +2.5000000000000000E+00	  +1.0394474315271955E+00	
  +7.4000000000000000E+01	  +2.5000000000000000E+00	  +1.0364278526415875E+00	
  +7.4250000000000000E+01	  +2.5000000000000000E+00	  +1.0320392127971951E+00	
  +7.4500000000000000E+01	  +2.5000000000000000E+00	  +1.0276539748642597E+00	
  +7.4750000000000000E+01	  +2.5000000000000000E+00	  +1.0240937528512466E+00	
  +7.5000000000000000E+01	  +2.5000000000000000E+00	  +1.0221776326928840E+00	
  +7.5250000000000000E+01	  +2.5000000000000000E+00	  +1.0210829061244537E+00	
  +7.5500000000000000E+01	  +2.5000000000000000E+00	  +1.0199883893201676E+00	
  +7.5750000000000000E+01	  +2.5000000000000000E+00	  +1.0188940819929100E+00	
  +7.6000000000000000E+01	  +2.5000000000000000E+00	  +1.0177999838552942E+00	
  +7.6250000000000000E+01	  +2.5000000000000000E+00	  +1.0167060946196584E+00	
  +7.6500000000000000E+01	  +2.5000000000000000E+00	  +1.0156124139980720E+00	
  +7.6750000000000000E+01	  +2.5000000000000000E+00	  +1.0139721931830137E+00	
  +7.7000000000000000E+01	  +2.5000000000000000E+00	  +1.0112395302807806E+00	
  +7.7250000000000000E+01	  +2.5000000000000000E+00	  +1.0079622243560611E+00	
  +7.7500000000000000E+01	  +2.5000000000000000E+00	  +1.0046867751301178E+00	
  +7.7750000000000000E+01	  +2.5000000000000000E+00	  +1.0019587988939735E+00	
  +7.8000000000000000E+01	  +2.5000000000000000E+00	  +1.0003226278649793E+00	
  +7.8250000000000000E+01	  +2.5000000000000000E+00	  +9.9923204171177937E-01	
  +7.8500000000000000E+01	  +2.5000000000000000E+00	  +9.9814165952734746E-01	
