  
 Results from TRNSYS Input File: 
 C:\Users\lbarnic\OneDrive - Fraunhofer\A_Bearbeitung\9_Parameterstudie_REP\II_
 NT_WN\II_HT_WN.dck                                                            
                                                                               
                                                                   
 Initiated at time: 2024-12-30 AT  15:20:15
 TIME                                   ,Strom_system                            ,Strom_WP_Winter                         ,Strom_el_nacherhitzung_SpS              ,sum_PV_Bestand                          ,COP_WN                                  ,Q_WP_Winter                             ,Q_WP_Sommer                             ,COP_WP_Winter                           ,COP_WP_Sommer                           ,Anteil_TWW_WP_W                         ,Q_TWW_SpS_EL                            ,Strom_WP_Sommer                         ,
  +1.1000000000000000E+01,  +3.2103207677412414E+01,  +2.4320332677412416E+01,  +0.0000000000000000E+00,  +3.0308633174906756E+00,  +2.4271409391724297E+00,  +5.9028875095640700E+01,  +0.0000000000000000E+00,  +2.4271409391724297E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.1250000000000000E+01,  +3.2261195959057716E+01,  +2.4026770959057714E+01,  +0.0000000000000000E+00,  +3.1752682528703313E+00,  +2.4397953606860430E+00,  +5.8620404318175162E+01,  +0.0000000000000000E+00,  +2.4397953606860430E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.1500000000000000E+01,  +3.2539909056342481E+01,  +2.3878459056342479E+01,  +0.0000000000000000E+00,  +3.3487900617023487E+00,  +2.4526414540472534E+00,  +5.8565298540355620E+01,  +0.0000000000000000E+00,  +2.4526414540472534E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.1750000000000000E+01,  +3.2598961287292973E+01,  +2.3581936287292972E+01,  +0.0000000000000000E+00,  +3.4881637947021162E+00,  +2.4653550495975698E+00,  +5.8137845705165894E+01,  +0.0000000000000000E+00,  +2.4653550495975698E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.2000000000000000E+01,  +3.2534047806150838E+01,  +2.3284447806150837E+01,  +0.0000000000000000E+00,  +3.5925121630589620E+00,  +2.4775933326824395E+00,  +5.7689392639711571E+01,  +0.0000000000000000E+00,  +2.4775933326824395E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.2250000000000000E+01,  +3.2394813945287297E+01,  +2.3074638945287301E+01,  +0.0000000000000000E+00,  +3.0484528362888179E+00,  +2.4896702023682291E+00,  +5.7448241012487252E+01,  +0.0000000000000000E+00,  +2.4896702023682291E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.2500000000000000E+01,  +3.1812534171283254E+01,  +2.2573859171283253E+01,  +0.0000000000000000E+00,  +3.0771518728707683E+00,  +2.5019175720044173E+00,  +5.6477934928586642E+01,  +0.0000000000000000E+00,  +2.5019175720044173E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.2750000000000000E+01,  +3.1282396870579227E+01,  +2.2219846870579225E+01,  +0.0000000000000000E+00,  +3.0768543835955380E+00,  +2.5126018030126867E+00,  +5.5829627309683161E+01,  +0.0000000000000000E+00,  +2.5126018030126867E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.3000000000000000E+01,  +3.0931870419560301E+01,  +2.2072945419560302E+01,  +0.0000000000000000E+00,  +3.0476598144743865E+00,  +2.5199142465076299E+00,  +5.5621929625135337E+01,  +0.0000000000000000E+00,  +2.5199142465076299E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.3250000000000000E+01,  +3.0597909259656522E+01,  +2.1915459259656522E+01,  +0.0000000000000000E+00,  +3.3235631348012449E+00,  +2.5255276553660346E+00,  +5.5348098440310189E+01,  +0.0000000000000000E+00,  +2.5255276553660346E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.3500000000000000E+01,  +3.0305747003076114E+01,  +2.1763747003076116E+01,  +0.0000000000000000E+00,  +3.2276495576945239E+00,  +2.5311770438916685E+00,  +5.5087896803252363E+01,  +0.0000000000000000E+00,  +2.5311770438916685E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.3750000000000000E+01,  +3.0074549549947189E+01,  +2.1672499549947190E+01,  +0.0000000000000000E+00,  +3.1022563460250128E+00,  +2.5357934671959659E+00,  +5.4956982776563599E+01,  +0.0000000000000000E+00,  +2.5357934671959659E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.4000000000000000E+01,  +3.0119279198486296E+01,  +2.1905429198486299E+01,  +0.0000000000000000E+00,  +2.9480978758376430E+00,  +2.5382892414255465E+00,  +5.5602315263326808E+01,  +0.0000000000000000E+00,  +2.5382892414255465E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.4250000000000000E+01,  +2.9802669521646152E+01,  +2.1863169521646153E+01,  +0.0000000000000000E+00,  +3.1250300807677629E+00,  +2.5397187010531983E+00,  +5.5526300498421044E+01,  +0.0000000000000000E+00,  +2.5397187010531983E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.4500000000000000E+01,  +2.9263236516670819E+01,  +2.1670561516670819E+01,  +0.0000000000000000E+00,  +2.8868445175688571E+00,  +2.5411504683857093E+00,  +5.5068157548269383E+01,  +0.0000000000000000E+00,  +2.5411504683857093E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.4750000000000000E+01,  +2.9235412217381082E+01,  +2.1996062217381084E+01,  +0.0000000000000000E+00,  +2.6194573329152329E+00,  +2.5433026017640947E+00,  +5.5942642266030212E+01,  +0.0000000000000000E+00,  +2.5433026017640947E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.5000000000000000E+01,  +2.8813137081071119E+01,  +2.1856912081071119E+01,  +0.0000000000000000E+00,  +2.3245639763668438E+00,  +2.5469011175814895E+00,  +5.5667393806160391E+01,  +0.0000000000000000E+00,  +2.5469011175814895E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.5250000000000000E+01,  +2.8491468207044640E+01,  +2.1684193207044643E+01,  +0.0000000000000000E+00,  +1.5665980741896810E+00,  +2.5512383492649504E+00,  +5.5321545282682827E+01,  +0.0000000000000000E+00,  +2.5512383492649504E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.5500000000000000E+01,  +2.8656095339882313E+01,  +2.1855870339882312E+01,  +0.0000000000000000E+00,  +1.2969542019879046E+00,  +2.5555967894176699E+00,  +5.5854792070532113E+01,  +0.0000000000000000E+00,  +2.5555967894176699E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.5750000000000000E+01,  +2.9018661278686224E+01,  +2.2139386278686224E+01,  +0.0000000000000000E+00,  +1.0115834781873465E+00,  +2.5592449001221480E+00,  +5.6660111425561979E+01,  +0.0000000000000000E+00,  +2.5592449001221480E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.6000000000000000E+01,  +2.9344120102846450E+01,  +2.2366395102846450E+01,  +0.0000000000000000E+00,  +7.1414531824860505E-01,  +2.5614409310858455E+00,  +5.7290199897268906E+01,  +0.0000000000000000E+00,  +2.5614409310858455E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
