 TIME                                   	Erdreichtemepratur_100m                 	Erdreichtemperatur_3m                   	Flusswassertemperatur                   	Erdreichtemepratur_15m                  	Aussentemp                              	
  +2.7000000000000000E+01	  +1.0000000000000000E+01	  +1.0085227099669243E+01	  +5.9942708333333332E+00	  +9.9822929922323347E+00	  +3.4999999999999998E-01	
  +2.7250000000000000E+01	  +1.0000000000000000E+01	  +1.0084936786088464E+01	  +5.9950148809523807E+00	  +9.9822934881154257E+00	  +2.4999999999999997E-01	
  +2.7500000000000000E+01	  +1.0000000000000000E+01	  +1.0084646469776647E+01	  +5.9957589285714290E+00	  +9.9822939845678462E+00	  +1.5000000000000002E-01	
  +2.7750000000000000E+01	  +1.0000000000000000E+01	  +1.0084356150743131E+01	  +5.9965029761904765E+00	  +9.9822944815895820E+00	  +1.0000000000000001E-01	
  +2.8000000000000000E+01	  +1.0000000000000000E+01	  +1.0084065828997248E+01	  +5.9972470238095239E+00	  +9.9822949791806170E+00	  +1.0000000000000001E-01	
  +2.8250000000000000E+01	  +1.0000000000000000E+01	  +1.0083775504548335E+01	  +5.9979910714285714E+00	  +9.9822954773409336E+00	  +1.0000000000000001E-01	
  +2.8500000000000000E+01	  +1.0000000000000000E+01	  +1.0083485177405725E+01	  +5.9987351190476197E+00	  +9.9822959760705174E+00	  +1.0000000000000001E-01	
  +2.8750000000000000E+01	  +1.0000000000000000E+01	  +1.0083194847578755E+01	  +5.9994791666666671E+00	  +9.9822964753693526E+00	  +1.1250000000000000E-01	
  +2.9000000000000000E+01	  +1.0000000000000000E+01	  +1.0082904515076757E+01	  +6.0002232142857146E+00	  +9.9822969752374213E+00	  +1.3750000000000001E-01	
  +2.9250000000000000E+01	  +1.0000000000000000E+01	  +1.0082614179909070E+01	  +6.0009672619047620E+00	  +9.9822974756747094E+00	  +1.6250000000000003E-01	
  +2.9500000000000000E+01	  +1.0000000000000000E+01	  +1.0082323842085028E+01	  +6.0017113095238095E+00	  +9.9822979766811990E+00	  +1.8750000000000000E-01	
  +2.9750000000000000E+01	  +1.0000000000000000E+01	  +1.0082033501613965E+01	  +6.0024553571428569E+00	  +9.9822984782568742E+00	  +1.6250000000000001E-01	
  +3.0000000000000000E+01	  +1.0000000000000000E+01	  +1.0081743158505219E+01	  +6.0031994047619044E+00	  +9.9822989804017208E+00	  +8.7499999999999994E-02	
  +3.0250000000000000E+01	  +1.0000000000000000E+01	  +1.0081452812768125E+01	  +6.0039434523809527E+00	  +9.9822994831157228E+00	  +1.2499999999999983E-02	
  +3.0500000000000000E+01	  +1.0000000000000000E+01	  +1.0081162464412017E+01	  +6.0046875000000002E+00	  +9.9822999863988606E+00	  -6.2500000000000000E-02	
  +3.0750000000000000E+01	  +1.0000000000000000E+01	  +1.0080872113446233E+01	  +6.0054315476190476E+00	  +9.9823004902511201E+00	  -1.7499999999999999E-01	
  +3.1000000000000000E+01	  +1.0000000000000000E+01	  +1.0080581759880108E+01	  +6.0061755952380951E+00	  +9.9823009946724870E+00	  -3.2500000000000001E-01	
  +3.1250000000000000E+01	  +1.0000000000000000E+01	  +1.0080291403722978E+01	  +6.0069196428571434E+00	  +9.9823014996629418E+00	  -4.7499999999999998E-01	
  +3.1500000000000000E+01	  +1.0000000000000000E+01	  +1.0080001044984176E+01	  +6.0076636904761909E+00	  +9.9823020052224685E+00	  -6.2500000000000000E-01	
  +3.1750000000000000E+01	  +1.0000000000000000E+01	  +1.0079710683673044E+01	  +6.0084077380952383E+00	  +9.9823025113510546E+00	  -8.4999999999999998E-01	
  +3.2000000000000000E+01	  +1.0000000000000000E+01	  +1.0079420319798913E+01	  +6.0091517857142858E+00	  +9.9823030180486789E+00	  -1.1499999999999999E+00	
  +3.2250000000000000E+01	  +1.0000000000000000E+01	  +1.0079129953371122E+01	  +6.0098958333333332E+00	  +9.9823035253153289E+00	  -1.4499999999999997E+00	
  +3.2500000000000000E+01	  +1.0000000000000000E+01	  +1.0078839584399008E+01	  +6.0106398809523807E+00	  +9.9823040331509869E+00	  -1.7500000000000000E+00	
  +3.2750000000000000E+01	  +1.0000000000000000E+01	  +1.0078549212891906E+01	  +6.0113839285714290E+00	  +9.9823045415556351E+00	  -1.8624999999999998E+00	
  +3.3000000000000000E+01	  +1.0000000000000000E+01	  +1.0078258838859151E+01	  +6.0121279761904765E+00	  +9.9823050505292592E+00	  -1.7875000000000001E+00	
  +3.3250000000000000E+01	  +1.0000000000000000E+01	  +1.0077968462310084E+01	  +6.0128720238095239E+00	  +9.9823055600718416E+00	  -1.7124999999999999E+00	
  +3.3500000000000000E+01	  +1.0000000000000000E+01	  +1.0077678083254037E+01	  +6.0136160714285714E+00	  +9.9823060701833679E+00	  -1.6375000000000002E+00	
  +3.3750000000000000E+01	  +1.0000000000000000E+01	  +1.0077387701700349E+01	  +6.0143601190476197E+00	  +9.9823065808638187E+00	  -1.5000000000000000E+00	
  +3.4000000000000000E+01	  +1.0000000000000000E+01	  +1.0077097317658358E+01	  +6.0151041666666671E+00	  +9.9823070921131798E+00	  -1.3000000000000003E+00	
  +3.4250000000000000E+01	  +1.0000000000000000E+01	  +1.0076806931137398E+01	  +6.0158482142857146E+00	  +9.9823076039314351E+00	  -1.1000000000000001E+00	
  +3.4500000000000000E+01	  +1.0000000000000000E+01	  +1.0076516542146809E+01	  +6.0165922619047620E+00	  +9.9823081163185670E+00	  -9.0000000000000002E-01	
  +3.4750000000000000E+01	  +1.0000000000000000E+01	  +1.0076226150695927E+01	  +6.0173363095238095E+00	  +9.9823086292745575E+00	  -6.1250000000000004E-01	
  +3.5000000000000000E+01	  +1.0000000000000000E+01	  +1.0075935756794088E+01	  +6.0180803571428569E+00	  +9.9823091427993926E+00	  -2.3750000000000004E-01	
  +3.5250000000000000E+01	  +1.0000000000000000E+01	  +1.0075645360450629E+01	  +6.0188244047619044E+00	  +9.9823096568930563E+00	  +1.3749999999999996E-01	
  +3.5500000000000000E+01	  +1.0000000000000000E+01	  +1.0075354961674890E+01	  +6.0195684523809527E+00	  +9.9823101715555289E+00	  +5.1249999999999996E-01	
  +3.5750000000000000E+01	  +1.0000000000000000E+01	  +1.0075064560476207E+01	  +6.0203125000000002E+00	  +9.9823106867867963E+00	  +6.8750000000000000E-01	
  +3.6000000000000000E+01	  +1.0000000000000000E+01	  +1.0074774156863917E+01	  +6.0210565476190476E+00	  +9.9823112025868408E+00	  +6.6249999999999987E-01	
  +3.6250000000000000E+01	  +1.0000000000000000E+01	  +1.0074483750847358E+01	  +6.0218005952380951E+00	  +9.9823117189556481E+00	  +6.3749999999999996E-01	
  +3.6500000000000000E+01	  +1.0000000000000000E+01	  +1.0074193342435867E+01	  +6.0225446428571434E+00	  +9.9823122358931986E+00	  +6.1250000000000004E-01	
  +3.6750000000000000E+01	  +1.0000000000000000E+01	  +1.0073902931638784E+01	  +6.0232886904761909E+00	  +9.9823127533994764E+00	  +6.8750000000000000E-01	
  +3.7000000000000000E+01	  +1.0000000000000000E+01	  +1.0073612518465444E+01	  +6.0240327380952383E+00	  +9.9823132714744673E+00	  +8.6250000000000004E-01	
  +3.7250000000000000E+01	  +1.0000000000000000E+01	  +1.0073322102925186E+01	  +6.0247767857142858E+00	  +9.9823137901181518E+00	  +1.0375000000000001E+00	
