  
 Results from TRNSYS Input File: 
 C:\Users\lbarnic\OneDrive - Fraunhofer\A_Bearbeitung\9_Parameterstudie_REP\II_
 NT_WN\II_HT_WN.dck                                                            
                                                                               
                                                                   
 Initiated at time: 2024-12-30 AT  15:20:15
 TIME                                   ,Strom_system                            ,Netzstrom                               ,PV_Strom                                ,Netzeinspeisung                         ,
  +3.8000000000000000E+01,  +5.6707178438985338E+01,  +4.8511936083130387E+01,  +8.1952423558549530E+00,  +0.0000000000000000E+00,
  +3.8250000000000000E+01,  +5.6375125297996632E+01,  +4.8893568403764007E+01,  +7.4815568942326252E+00,  +0.0000000000000000E+00,
  +3.8500000000000000E+01,  +5.6617811567148252E+01,  +4.9663344749898080E+01,  +6.9544668172501698E+00,  +0.0000000000000000E+00,
  +3.8750000000000000E+01,  +5.6933902911311044E+01,  +5.0570846573086470E+01,  +6.3630563382245775E+00,  +0.0000000000000000E+00,
  +3.9000000000000000E+01,  +5.6840598242744136E+01,  +5.1127243815666745E+01,  +5.7133544270773928E+00,  +0.0000000000000000E+00,
  +3.9250000000000000E+01,  +5.8331083389547672E+01,  +5.5703278804034554E+01,  +2.6278045855131165E+00,  +0.0000000000000000E+00,
  +3.9500000000000000E+01,  +6.0737786075859368E+01,  +5.8482169159698024E+01,  +2.2556169161613471E+00,  +0.0000000000000000E+00,
  +3.9750000000000000E+01,  +6.1583067591002681E+01,  +5.9769191587110861E+01,  +1.8138760038918189E+00,  +0.0000000000000000E+00,
  +4.0000000000000000E+01,  +6.2697672330983515E+01,  +6.1340638284928986E+01,  +1.3570340460545283E+00,  +0.0000000000000000E+00,
  +4.0250000000000000E+01,  +6.4227274936171455E+01,  +6.3992750801805890E+01,  +2.3452413436556163E-01,  +0.0000000000000000E+00,
  +4.0500000000000000E+01,  +6.5928981319998996E+01,  +6.5857684327628363E+01,  +7.1296992370639634E-02,  +0.0000000000000000E+00,
  +4.0750000000000000E+01,  +6.7726908870206572E+01,  +6.7726908870206572E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.1000000000000000E+01,  +6.9376590014861421E+01,  +6.9376590014861421E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.1250000000000000E+01,  +7.0581830983945395E+01,  +7.0581830983945395E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.1500000000000000E+01,  +7.1603444332110811E+01,  +7.1603444332110811E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.1750000000000000E+01,  +7.2574527223755609E+01,  +7.2574527223755609E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.2000000000000000E+01,  +7.4293729197466149E+01,  +7.4293729197466149E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.2250000000000000E+01,  +7.6157523466407085E+01,  +7.6157523466407085E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.2500000000000000E+01,  +7.6759437077599515E+01,  +7.6759437077599515E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.2750000000000000E+01,  +7.7026243124460976E+01,  +7.7026243124460976E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.3000000000000000E+01,  +5.3779037149054581E+01,  +5.3779037149054581E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.3250000000000000E+01,  +3.3247070821349020E+01,  +3.3247070821349020E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.3500000000000000E+01,  +3.1792116894458736E+01,  +3.1792116894458736E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.3750000000000000E+01,  +3.0966847544139952E+01,  +3.0966847544139952E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.4000000000000000E+01,  +3.1449112550179528E+01,  +3.1449112550179528E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.4250000000000000E+01,  +3.1495706885388323E+01,  +3.1495706885388323E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.4500000000000000E+01,  +3.0791545848058391E+01,  +3.0791545848058391E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.4750000000000000E+01,  +3.0983516539014424E+01,  +3.0983516539014424E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.5000000000000000E+01,  +3.1805202821542057E+01,  +3.1805202821542057E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.5250000000000000E+01,  +3.2693872850016511E+01,  +3.2693872850016511E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.5500000000000000E+01,  +3.2724569009728128E+01,  +3.2724569009728128E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.5750000000000000E+01,  +3.2606215623615597E+01,  +3.2606215623615597E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.6000000000000000E+01,  +3.1361634883011433E+01,  +3.1361634883011433E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.6250000000000000E+01,  +3.0282272945034702E+01,  +3.0282272945034702E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
